Dimensions_ID,Width,Length,Height,Wheelbase,Curb_weight_kg,Clearance
-1782205272538512605,1775.0,4175.0,1610.0,2500.0,1160.0,185.0
6138663426853098888,1775.0,4175.0,1610.0,2500.0,1235.0,185.0
-1573992081710792326,1775.0,4175.0,1610.0,2500.0,1075.0,185.0
-4689213037789466011,1775.0,4175.0,1610.0,2500.0,1185.0,185.0
-1182858842698119057,1645.0,3645.0,1725.0,2250.0,1110.0,210.0
1397103810359144460,1645.0,3645.0,1725.0,2250.0,1090.0,210.0
3370233367965963680,1789.0,4621.0,1496.0,2708.0,1374.0,176.0
7796035640901919646,1789.0,4621.0,1496.0,2708.0,1330.0,176.0
-8792297298484931714,1789.0,4621.0,1496.0,2708.0,1357.0,176.0
1587265745613097765,1789.0,4621.0,1496.0,2708.0,1365.0,176.0
8324358652383663314,2073.0,4970.0,1846.0,2923.0,2230.0,220.0
-4505487942205316562,1920.0,4956.0,1950.0,3275.0,1775.0,175.0
-1060821005850430263,1920.0,4956.0,1950.0,3275.0,1746.0,175.0
-5376897881094164091,1920.0,4956.0,1950.0,3275.0,1545.0,150.0
-3952127913426597361,1820.0,4545.0,1565.0,2721.0,1370.0,208.0
3724736771401165074,1820.0,4545.0,1565.0,2721.0,1370.0,205.0
5938037142933386336,1820.0,4545.0,1565.0,2721.0,1378.0,208.0
2214187042686453980,1820.0,4545.0,1565.0,2721.0,1378.0,205.0
1747176190032540762,2073.0,4879.0,1803.0,2923.0,2115.0,0.0
5409335721220053010,2073.0,4879.0,1803.0,2923.0,2310.0,0.0
7850013138274051441,2073.0,4879.0,1803.0,2923.0,2278.0,213.0
8316343486471006416,2073.0,4879.0,1803.0,2923.0,2285.0,0.0
-2539013387025499517,2073.0,4879.0,1803.0,2923.0,2398.0,0.0
4107415697670467793,1920.0,5306.0,1905.0,3275.0,1806.0,140.0
770418310243002227,1727.0,3874.0,1414.0,2495.0,1265.0,143.0
-3374616506889806783,1706.0,4469.0,1471.0,2591.0,1195.0,170.0
-3909874809911216951,1706.0,4469.0,1471.0,2591.0,1285.0,170.0
188882350831049126,1706.0,4469.0,1471.0,2591.0,1246.0,170.0
-7118883665486795133,1706.0,4469.0,1471.0,2591.0,1185.0,170.0
-8422803804691221239,1829.0,4689.0,1470.0,2686.0,1315.0,158.0
7313640502668033369,1829.0,4689.0,1470.0,2686.0,1371.0,143.0
-8525692206612643418,1829.0,4689.0,1470.0,2686.0,1341.0,158.0
4699689832647013321,1733.0,4359.0,1517.0,2634.0,1106.0,155.0
-7317535159404341524,1733.0,4359.0,1517.0,2634.0,1156.0,155.0
5828567230612499458,1733.0,4359.0,1517.0,2634.0,1125.0,155.0
-230949121285459213,1761.0,4368.0,1571.0,2634.0,1154.0,178.0
4712580489007280936,1761.0,4368.0,1571.0,2634.0,1077.0,195.0
-5240456564878529295,1761.0,4368.0,1571.0,2634.0,1102.0,195.0
-2682130409787438071,1761.0,4368.0,1571.0,2634.0,1148.0,195.0
-52126349325922111,1733.0,4070.0,1523.0,2589.0,1100.0,155.0
-195031155642939935,1733.0,4070.0,1523.0,2589.0,1119.0,155.0
1336334866486070432,1733.0,4070.0,1523.0,2589.0,1151.0,155.0
9201312024633909925,1902.0,5260.0,1479.0,3210.0,2005.0,152.0
2293226286560298400,1902.0,5260.0,1479.0,3210.0,2220.0,135.0
2583547104797494781,1902.0,5260.0,1479.0,3210.0,1950.0,135.0
9013066186455691552,1902.0,5260.0,1479.0,3210.0,2000.0,135.0
1165157064491991657,1814.0,4670.0,1461.0,2686.0,1335.0,141.0
8232822851093020775,1814.0,4670.0,1461.0,2686.0,1269.0,141.0
6993078655003485075,1814.0,4670.0,1461.0,2686.0,1255.0,156.0
6776900340933844749,1814.0,4670.0,1461.0,2686.0,1255.0,141.0
1385510490808871793,1939.0,4544.0,1259.0,2630.0,1735.0,0.0
-6454106304627489814,1939.0,4544.0,1259.0,2630.0,1700.0,0.0
4829297099128948975,1945.0,5172.0,1473.0,2998.0,1995.0,0.0
7163466543947772489,1945.0,5172.0,1473.0,2998.0,2020.0,0.0
7069214715167954803,1832.0,4775.0,1483.0,2786.0,1441.0,0.0
7172103117089376982,1832.0,4775.0,1483.0,2786.0,1415.0,0.0
-1157918321905400502,1832.0,4775.0,1483.0,2786.0,1530.0,0.0
-252623231698220247,1907.0,4867.0,1362.0,2827.0,1885.0,0.0
-8850447919876315355,1839.0,4486.0,1673.0,2677.0,1453.0,200.0
-4944931567435239025,1839.0,4486.0,1673.0,2677.0,1636.0,200.0
7756264925939959357,1839.0,4486.0,1673.0,2677.0,1499.0,200.0
-930682902184971775,1839.0,4486.0,1673.0,2677.0,1696.0,200.0
-4203896460570984499,1839.0,4486.0,1673.0,2677.0,1494.0,200.0
1058061524010738498,1839.0,4486.0,1673.0,2677.0,1653.0,200.0
24410279752715421,1810.0,4686.0,1405.0,2840.0,1585.0,130.0
-7569413307445206183,1810.0,4686.0,1405.0,2840.0,1505.0,130.0
4553100954610093566,1810.0,4686.0,1405.0,2840.0,1515.0,130.0
-143275008198616730,1810.0,4686.0,1405.0,2840.0,1571.7172606568836,130.0
5524895396878749834,2015.0,4938.0,1717.0,2972.0,2310.0,212.0
6351269237574284235,2000.0,5151.0,1805.0,3105.0,2445.0,221.0
5816010934552874067,2000.0,5151.0,1805.0,3105.0,2535.0,221.0
